ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Consumer
2025-07-25,4260.218574836234,1904.342655481148,3556.023744958517,4260.218574836234,4260.218574836234,-1521.020686677176,-1521.020686677176,-1521.020686677176,-169.1279300708522,-169.1279300708522,-169.1279300708522,-1351.8927566063237,-1351.8927566063237,-1351.8927566063237,0.0,0.0,0.0,2739.1978881590585,Consumer 1
2025-07-26,4264.009624348911,1943.3855660792656,3585.299694986348,4264.009624348911,4264.009624348911,-1468.7945642443751,-1468.7945642443751,-1468.7945642443751,-144.16676787437217,-144.16676787437217,-144.16676787437217,-1324.627796370003,-1324.627796370003,-1324.627796370003,0.0,0.0,0.0,2795.2150601045355,Consumer 1
2025-07-27,4267.800673861588,2280.0649807176246,3963.6756574579595,4267.800673861588,4267.800673861588,-1158.1909687482737,-1158.1909687482737,-1158.1909687482737,120.61567748768438,120.61567748768438,120.61567748768438,-1278.8066462359582,-1278.8066462359582,-1278.8066462359582,0.0,0.0,0.0,3109.609705113314,Consumer 1
2025-07-28,4271.591723374264,2327.242710645895,4015.6781928687737,4271.591723374264,4271.591723374264,-1104.0785628054507,-1104.0785628054507,-1104.0785628054507,112.17178477791342,112.17178477791342,112.17178477791342,-1216.2503475833641,-1216.2503475833641,-1216.2503475833641,0.0,0.0,0.0,3167.513160568813,Consumer 1
2025-07-29,4275.382772886941,2295.6246600415093,4030.033594923931,4275.382772886941,4275.382772886941,-1092.8169647487252,-1092.8169647487252,-1092.8169647487252,46.49377000109998,46.49377000109998,46.49377000109998,-1139.310734749825,-1139.310734749825,-1139.310734749825,0.0,0.0,0.0,3182.5658081382157,Consumer 1
2025-07-30,4279.173822247141,2291.097798049538,3947.2994508446236,4279.173822247141,4279.173822247141,-1149.0214072147517,-1149.0214072147517,-1149.0214072147517,-98.23493214707396,-98.23493214707396,-98.23493214707396,-1050.7864750676779,-1050.7864750676779,-1050.7864750676779,0.0,0.0,0.0,3130.1524150323894,Consumer 1
2025-07-31,4282.964871607341,2658.6774536674884,4286.4167169424945,4282.964871607341,4282.964871607341,-821.5750009366379,-821.5750009366379,-821.5750009366379,132.24839782580756,132.24839782580756,132.24839782580756,-953.8233987624455,-953.8233987624455,-953.8233987624455,0.0,0.0,0.0,3461.3898706707027,Consumer 1
2025-08-01,4286.755920967541,2480.3792418046924,4083.603644658025,4286.755920967541,4286.755920967541,-1020.9305731137731,-1020.9305731137731,-1020.9305731137731,-169.12793007136872,-169.12793007136872,-169.12793007136872,-851.8026430424044,-851.8026430424044,-851.8026430424044,0.0,0.0,0.0,3265.825347853768,Consumer 1
2025-08-02,4290.546969797221,2578.3110350233865,4308.561018445426,4290.546969797221,4290.546969797221,-892.387330012296,-892.387330012296,-892.387330012296,-144.16676787438774,-144.16676787438774,-144.16676787438774,-748.2205621379082,-748.2205621379082,-748.2205621379082,0.0,0.0,0.0,3398.1596397849253,Consumer 1
2025-08-03,4294.3380186269005,2882.848885997256,4601.5970491872795,4294.3380186269005,4294.3380186269005,-525.9489697396489,-525.9489697396489,-525.9489697396489,120.61567748741713,120.61567748741713,120.61567748741713,-646.564647227066,-646.564647227066,-646.564647227066,0.0,0.0,0.0,3768.3890488872516,Consumer 1
